label	sentence1
政务_文旅	安徽三祖寺发现佛牙舍利 初步判断为宋代皇家所赐
科技_数码	员工曝苹果2022年春季发布会要来了！iPhone SE 3即将发布
汽车_行业	俄乌战争使大众向中国和美国转移产能
科技_车科技	再也不怕事故扯皮！所有新车全面上线黑匣子：比行车记录仪好用
体育_中国足球	终身禁赛！体育总局和公安部联手严查严打赌球假球行为
娱乐_电影	9分崩到3分，国剧之王彻底被毁
娱乐_音乐	华晨宇2019演唱会版降临释出 高质量舞美堪称天花板
政务_地方	优化营商环境 江西省打造“15分钟政务服务圈”
汽车_导购	天津车展最便宜新能源推荐 预算2万多就有选择
娱乐_明星	熊黛林居家抗疫陪女儿做功课 母女亲力亲为做手工超有爱
科技_数码	芯片才是苹果最强壁垒
体育_国际足球	土甲球员拒穿“对战争说不”的T恤：我的良心会不适
时尚_情感	在成为母亲之前，她们也只是普通人
科技_区块链	独立游戏发行商itch.io怒批NFT为骗局 顺带Diss了一众游戏厂商
政务_文旅	赏红不必“扎堆”香山，北京多家公园景区进入彩叶观赏期
时尚_时装	法国博主Solene文艺又摩登的穿搭 都能有自己的风格和味道
娱乐_电视	JESSI等嘉宾接连确诊新冠 《第六感3》首期节目将延期
科技_手机	小米Civi产品经理证实：没有小米12青春版了
政务_反腐	重点领域正风反腐观察 猛药去疴遏制靠山吃山
时尚_时装	时隔一年，Vogue中国前总裁公开被辞退内幕！
时尚_时装	张震复古风儒雅大片
政务_政策	北京：春节留京保供家政服务员及其所属企业可获奖励
汽车_新车	全新大众Amarok皮卡谍照 将于夏季亮相/共享福特Ranger平台
娱乐_电视	综艺《大侦探》内容多次遭恶意曲解 节目组将通过法律维权
科技_手机	全新变“拆修” 高价回收套路有多深？
汽车_试驾	怀念吗？向前吧。试驾JEEP新大指挥官
体育_中国足球	韩国女足主帅：双方心态将主导赛果 球队和奥预赛时已完全不同
体育_CBA	正式确定！辽宁名宿替代马布里 出任北控男篮代理主帅
科技_数码	不用等“矿难”显卡价格暴跌多达35%：GTX 1063不足1200元
政务_文旅	2018年“宪法宣传周”活动在呼和浩特启动
汽车_行业	最新融资超20亿 哪吒年内计划赴港IPO
政务_发展治理	农业农村部：猪肉价格已连续12周下降 同比下降约25%
政务_政策	新年各地楼市调控已60余次，房价要降了？
科技_手机	红魔7 Pro游戏手机发布：搭骁龙8配内置风扇 售3999元起
科技_数码	电池锂价疯涨 曝宁德时代减产！官方回应
体育_中国足球	重返中超？记者：有中国球队求购特谢拉 贝西克塔斯正在评估报价
科技_区块链	刷完1427页专利文件 我们发现了Meta的元宇宙秘密
时尚_美容	郑秀妍郑秀晶合影超美艳！
科技_手机	再等等！华为2022新品发布会周期曝光：5月平板、7月Mate
科技_数码	Win10免费升级机会将结束！Windows 11一路狂飙：更新率超20%
汽车_新车	日产全新一代途乐预计2023年发布 或取消V8动力
娱乐_明星	Ella受访谈Selina新恋情：我真的很为她开心
体育_国际足球	大英名宿调侃曼城：蓝月亮再次陷入挣扎 客场35分钟只领先3球
娱乐_电影	豆瓣9.0！这种剧也就他们敢拍了
政务_文旅	武当全域游引全球热捧 “福寿康宁”诠释武当文化
政务_文旅	发改委：降低重点国有景区门票价格，确保国庆前取得明显成效
时尚_情感	豪车名宅还公然在MV里炫富？周董50亿身家这么可怕？
汽车_新车	阿尔法·罗密欧Tonale Quadrifoglio假想图 定位高性能SUV
科技_数码	索尼推出新一代X90K X91K X80K系列电视
体育_中国足球	潘伟力：恒大打算用足校00-01年龄段打中超 03后打中冠
科技_手机	董明珠：电池最本质的就是安全问题 呼吁制定相应的安全标准
娱乐_电视	湖南卫视主持阵容大洗牌，新一哥一姐已有着落？
娱乐_明星	哭得好也被骂？宋祖儿新剧被吐槽，哭戏模式化还是有人太苛刻？
体育_国际足球	欧冠淘汰赛切尔西占先机！各路赛事夺6连胜
时尚_美容	什么面膜好用补水效果好 最好用的补水面膜10大品牌盘点
体育_CBA	2主力缺阵新疆卡位战不敌吉林 琼斯28+8+9齐麟空砍25分
娱乐_音乐	傻子与白痴乐队与“爱的艺术”展梦幻联动 《Year of Fate》新专辑试听会收获好评
汽车_新车	奔驰A级路试谍照曝光 有望今年上半年正式亮相
政务_文旅	城墙南北贯通 故宫这些景点国庆成网红
体育_国际足球	重磅！广州队官方：与五名归化球员终止合同
体育_NBA	10连胜！灰熊击败勇士莫兰特29+8 库里三双迎“里程悲”
娱乐_电视	新丽传媒2022年迎来多部精品爆款“开门红”
体育_国际足球	45岁舍瓦声援老东家：切尔西历史无法被抹去！请将胜利献给我祖国
科技_手机	iPhone 13即将在鸿海集团印度厂量产
政务_地方	高危行业领域强制推行安责险 湖北2022年底将实现参保全覆盖
时尚_情感	11年过去了，侃爷再谈抢话筒事件…
时尚_时装	杨英格精彩演绎迪奥二零二一男士沙滩装限定系列 开启盛夏精彩假期
科技_车科技	沉寂三年半 Uber自动驾驶致死案“安全员”发声：希望得到公正的审判
体育_中国足球	女足官方公布王霜疑似骨裂！亚洲杯决赛带伤踢60分钟 网友：致敬
时尚_时装	白百何黑白镜像时尚大片
科技_数码	AMD显卡新神技登场：白捡3倍性能！
体育_CBA	广东击败浙江迎三连胜！朱旭航三分超神，陆文博伤退，阿联轮休
科技_区块链	这就是扎克伯格的元宇宙？太糙了吧！丨新鲜一点vol.4
体育_NBA	锡伯杜：不管谁在场或缺阵 马刺的比赛风格从不会改变
政务_文旅	紫金城城址与铁河古墓群保护规划正式获批
体育_NBA	奥尼尔表情火了！扣篮大赛失误+尴尬不断 表情彻底生无可恋
科技_区块链	经济日报评论：莫给虚拟货币“矿场”留空间
政务_反腐	长期与管理服务对象打牌赌博，资阳市委原书记陈吉明被双开
汽车_行业	车股月报｜倒春寒，当回暖遇到战争，何时止「跌」？
娱乐_电影	妇女节，贾樟柯带来了这部电影
娱乐_音乐	秋风知再会：李宗盛作品音乐剧《当爱已成往事》2021年巡演地图
娱乐_音乐	只一秒，全中国人DNA都为它动了
娱乐_电视	网剧《唐人街探案》第二季组讯曝光 预计将于2022年6月开机
科技_区块链	印度财政部长：印度人看到了加密货币的未来
政务_发展治理	8.8万家沙县小吃门店是什么概念？
汽车_新车	纯电里程约48公里 北京奔驰GLC插电混动版车型路试谍照曝光
娱乐_电影	婚姻，果真与剧里那般鸡飞狗跳吗？
体育_NBA	剑指卫冕！本赛季雄鹿有多强？双杀篮网+击败湖人 送勇士大溃败
体育_国际足球	生涯新耻！C罗全场0射获6.9分，连续3年成欧冠16郎，双骄时代落幕
科技_手机	OPPO Find X5看点汇总 价格成最大悬念
时尚_美容	哪些蔬菜，是减肥的“坑”？为了瘦多吃蔬菜，谁知却越吃越胖！
娱乐_音乐	受疫情影响 龚琳娜3地音乐会取消或延后
科技_数码	麒麟加持！华为MatePad Paper墨水平板处理器定了
汽车_导购	东风悦达起亚第四代嘉华购车指南 推荐豪华科技款
体育_NBA	篮网有多难？8人应战，格里芬被罚下，单节净负19分后加时获胜
娱乐_音乐	《点赞达人秀》聚焦普通人梦想 农村女孩讲述武术梦落泪
政务_反腐	内蒙古一落马厅官被通报：严重破坏当地工程建设正常秩序
政务_发展治理	西部多省区一季度GDP增速低于全国：外向度低痛失外贸订单回流红利
政务_政策	稳字当头 迎难而上——部门地方稳经济政策密集落地扫描
体育_CBA	篮协官宣处罚两大作弊裁判！叶楠在列，曾怒怼杨鸣：和你没关系
体育_NBA	热议勇士击败太阳！王猛盛赞体系，杨毅：波特扮演了克莱汤普森
科技_车科技	镍价疯涨 锂电遭殃！马斯克难 国产电动车们会更难
政务_文旅	2018假日旅游市场:消费类型多 文化参与度高
政务_地方	到“十四五”期末 江西城镇老旧小区改造将惠及近700万人
时尚_美容	爽肤水哪款好用？这些化妆水，提高皮肤组织更新能力，使肌肤健康
娱乐_电视	克制爱情与上头疯批，《相逢时节》的一体两面
科技_数码	英企开发隐身盾牌：抗极端温度 而且经久耐用
科技_车科技	特斯拉一周内涨价两次
娱乐_电视	国家电影局等六部门：严防借影视基地之名行房地产开发之实
科技_车科技	媲美百万级豪车 华为首辆鸿蒙汽车3月5日开启交付
政务_反腐	公款堆砌的奢靡人生：江苏一会计挪用250万买车、定制整形
科技_数码	纷纷响应制裁俄罗斯：台积电、英特尔、AMD等皆已断供
娱乐_明星	26岁网红意外跌倒后脑死亡，捐献器官救助六人获重生
体育_NBA	隔空对飚库里！杜兰特关键时刻死神降临，率残阵4连胜+冲击MVP
政务_地方	四川省全民健身实施计划出炉，将实施5大工程！
科技_区块链	中国传媒大学启动国内首个开放于元宇宙平台的“虚拟大学”
时尚_美容	美白精华液哪个牌子好 十款真正好用的美白精华推荐
政务_反腐	2020年9月全国查处违反中央八项规定精神问题11929起
汽车_试驾	怎样约到一辆自动驾驶的出租车？
娱乐_明星	还记得董浩叔叔吗？65岁长这样？
体育_NBA	转折点！库里怒踢凳子后豪取4连胜 入选全明星首发感谢球迷支持
时尚_情感	“四千年美女”鞠婧祎被全网黑 没有一次做作是无辜的
时尚_美容	哪个牌子的乳液最好用？这些乳液细腻亲肤不油腻，还能改善痘痘肌
汽车_试驾	当品牌向上遇到领克09，有惊喜也有挑战
政务_发展治理	湖北清明假期接待游客1170万人 赏花短途游占主导
科技_车科技	突发！图森未来拟作价10亿美金出售中国业务 未来将专注美国市场
政务_政策	速看！不止年终奖、十三薪，年底还有这几笔钱能领
科技_手机	评论：两颗芯的OPPO Find X5系列值得买吗？
政务_地方	提升存量能级再塑社群生态 青岛全方位推动城市更新
汽车_行业	深现场 | UNI-K iDD显山，长安新能源露水
时尚_情感	张月：谢谢大家讨厌林有有
体育_NBA	10万8000美元！库里全明星疯狂砍分为捐款家乡
时尚_情感	小李子最爱前女友，如今是世界收入最高超模，丈夫背景吊打小李子
体育_中国足球	人民日报：中国女足做出了榜样！
体育_国际足球	切尔西下赛季主场球衣曝光 球迷：像小孩涂鸦
时尚_美容	你适合披发还是扎发？就看这三个脸部特点，修饰脸部曲线
汽车_行业	捷尼赛思全系车型连续四年获得北美“最佳安全选择+”评级
科技_区块链	福布斯：对2022年区块链、加密资产、DeFi和NFT的10个预测
科技_手机	苹果iPhone SE 3代工厂曝光：鸿海、纬创负责主要组装
科技_5G	高通发布X70 5G调制解调器 下载速度达10Gbps
体育_CBA	开门黑！广东不敌广厦，易建联8+13赵岩昊30分，孙铭徽被驱逐
政务_地方	重庆启用一体化信用融资服务平台 缓解中小微企业融资难题
科技_区块链	NFT距离元宇宙只差一个周杰伦
政务_地方	陕西稳步推进5个旅游项目融资建设
政务_政策	公安部再推9项交管新措施
汽车_导购	【马自达CX-30小彩蛋】那些配置表以外的小心机，才是给新生代的真正惊喜
汽车_行业	俄乌战争下，风雨飘摇的欧洲车业
汽车_试驾	大空间之外的小乐趣 场地试驾星途凌云
娱乐_电影	《如果有一天我将会离开你》片段海报双发 今日暖心上映
娱乐_电影	《神秘海域》预售开启 荷兰弟“突破极限”揭秘动作拍摄难度爆表
体育_中国足球	王霜鼓励球队：就在今晚 看我们的
时尚_美容	洗面奶什么品牌好 全球清洁洗面奶排行榜10强
体育_中国足球	东南亚足坛大洗牌！东帝汶、老挝力压劲敌 与越南会师U23杯4强
科技_数码	小米投资AR光学硬件研发商至格科技
政务_发展治理	这8个地方AI产业规模占全国80% 北京深圳企业最多
体育_国际足球	英国宣布制裁俄罗斯后，俄亿万富翁放弃切尔西俱乐部的管理权
体育_国际足球	良心老板！阿布20年砸23亿买人足坛第1 造切尔西21冠+大满贯伟业
娱乐_电视	日版《来自星星的你》惨遭差评 难以超越原版“千颂伊都敏俊”
娱乐_电视	成年人的爱情，太好嗑了
汽车_行业	看见中国汽车 不可忽视的向上力量
政务_政策	广东8类特定人员纳入工伤保险覆盖范围 多少人已参保？
科技_数码	消息称海康威视计划以550万美元购买ASML二手设备
娱乐_明星	44岁吴佩慈近照曝光，六年为富商生四胎至今仍没名份
时尚_情感	明星有必要比学历吗？业务能力更重要，但高学历仍是吸睛点
体育_NBA	詹姆斯：最后一个赛季我将和儿子同队打球
政务_政策	国家发展改革委建立违背市场准入负面清单案例归集和通报制度
汽车_行业	欧拉黑猫白猫“停产” 撕开A0级电动市场残忍一面
科技_区块链	为什么持有NFT不等于获得了版权？
娱乐_电视	《奇迹·笨小孩》现实题材传递幸福力量 文牧野书写平凡人物奋斗精神
体育_NBA	泪目！库里加冕三分王，追梦格林谈唯一遗憾：克莱不在现场见证
娱乐_电视	《流光之城》“火烧鸦片”引争议 导演发文回应：无声胜有声
汽车_试驾	不插电的增程混动 试驾东风日产e-POWER轩逸
体育_NBA	奇才当家球星比尔赛季报销 顶薪合同或与他无缘
科技_5G	中国6G重大突破 4小时发射3颗卫星 美国态度大变：请求合作
政务_地方	立足长城保护“朋友圈”，甘肃这份规划咋解读？
娱乐_明星	网友偶遇向佐夫妇逛超市 郭碧婷腰身圆润疑有孕
时尚_时装	被31岁的林允儿疯狂种草泡泡袖公主裙 是种什么体验？
娱乐_电影	一会华人骄傲一会辱华，能不能安静看电影？
娱乐_电视	《我们的婚姻》临近大结局，10个角色塑造排名，白百何第二
政务_政策	涉及报销事项！25地加入增值税电子专票“朋友圈”
体育_国际足球	瑞典足协：瑞典目前不可能与俄罗斯进行世预赛附加赛
体育_国际足球	欧冠8强出炉：英超西甲各3队成赢家！尤文出局，意甲法甲全军覆没
政务_政策	河南暴雨中的“致命细节” 引发城市“极限治理”思考丨政邦报告
政务_发展治理	国民全人群接种来了！我国将构筑最大免疫屏障
时尚_美容	张哲瀚被封杀，这“狐系男”怕是要统治内娱审美
科技_手机	“高能传送”：苹果春季发布会hashflag图标Logo已在Twitter特别上线
时尚_美容	羽西「鎏金CP」  妆养双效 凝时驻颜  第二代鎏金瓶精华+全新鎏金粉底液8月重磅上市
科技_手机	曝iPhone SE2手机要降价：这个价位你会买吗？
体育_国际足球	瓜迪奥拉：不信克洛普会放弃 拿96分才能确保夺冠
汽车_行业	太猛了！2022年通用电动皮卡产量或增加六倍？
科技_5G	国务院：加大6G技术研发支持力度 加快布局卫星通信网络等
娱乐_电视	《红海行动》摄影师拍新片意外坠亡 主演炎亚纶停工为其讨说法
时尚_美容	一场奥运会让我看尽了人间百态......的发型
政务_地方	甘肃文旅“小目标”：打造“千亿级产业链”
时尚_情感	容貌焦虑，是一种怎样的体验？
政务_反腐	哈尔滨老旧小区改造中27份质检报告涉造假 43人被查处
娱乐_明星	3月过半就有10位明星去世，8位老艺术家，最小才28岁
体育_国际足球	基辅迪那摩主帅卢塞斯库：不会离开基辅 我不是懦夫
时尚_情感	“男友力”正流行，早秋就穿它，让你和“战神”一样气场两米八
政务_政策	离婚冷静期就要来了 新流程绕不过这几个“30天”
娱乐_电影	《喜鹊谋杀案》：案中案的推理让烧脑加倍
时尚_情感	孟美岐：我只要让我喜欢的人喜欢我
科技_数码	iPhone 13/13 Pro绿色图赏：新配色有啥不一样？
汽车_新车	新款起亚Telluride谍照曝光 内外均有调整
时尚_时装	时候到了！来跟“啤酒妹”和博主们学做卫衣Girl
汽车_导购	硬件为王，调教为后，嘉悦X7的底盘都有哪些亮点？
